460.7   1.38-01
562.7   1.45-01
867.2   1.71-01
1150.8  2.01-01
1488.6  2.43-01
1806.8  2.92-01
2088.6  3.44-01
2390.4  4.11-01
2597.3  4.64-01
2837.1  5.33-01
3062.5  6.06-01
3297.4  6.94-01
3526.8  7.89-01
3721.1  8.81-01
3914.5  9.78-01
4113.6  1.09 
4341    1.23 
4507.4  1.34 
4645.9  1.44 
4573.8  1.39 
3826.8  9.33-01
2968.4  5.75-01
1867.6  3.03-01
1019.4  1.86-01
473.2   1.38-01
496.5   1.40-01
725.1   1.58-01
1035.8  1.88-01
1338.5  2.23-01
1609.9  2.61-01
1857.8  3.00-01
2130.9  3.53-01
2300    3.89-01
2347.4  4.00-01
2309.1  3.92-01
2486    4.33-01
2744.9  5.06-01
3053.8  6.03-01
3316.5  7.00-01
3553.9  8.03-01
3756.3  8.97-01
3960.5  1.00 
4150.2  1.11 
4347.9  1.24 
4507.6  1.34 
4618.5  1.43 
4691.7  1.48 
4695.2  1.48 
4697.7  1.48 

