#t,h,En,Ep,Ea,H(10)
34080,562.7,0,0,0,0
34090,608.1,0,0,0,0
34100,667,7.81542e-14,0,7.81542e-14,6.82032e-10
34110,711.7,0,0,0,0
34120,774.8,0,0,0,0
34130,811.2,1.30257e-13,0,1.30257e-13,1.13672e-09
34140,867.2,6.51285e-14,0,6.51285e-14,5.6836e-10
34150,911.2,0,0,0,0
34160,955.4,5.21028e-14,0,5.21028e-14,4.54688e-10
34170,1007.4,5.21028e-14,0,5.21028e-14,4.54688e-10
34180,1060.3,7.81542e-14,0,7.81542e-14,6.82032e-10
34190,1101.1,7.81542e-14,0,7.81542e-14,6.82032e-10
34200,1150.8,9.11799e-14,0,9.11799e-14,7.95704e-10
34210,1216.1,1.30257e-13,0,1.30257e-13,1.13672e-09
34220,1269.1,0,0,0,0
34230,1327,1.30257e-13,0,1.30257e-13,1.13672e-09
34240,1386.7,0,0,0,0
34250,1438.1,0,0,0,0
34260,1488.6,0,0,0,0
34270,1545.1,6.51285e-14,0,6.51285e-14,5.6836e-10
34280,1596,3.90771e-14,0,3.90771e-14,3.41016e-10
34290,1655.6,0,0,0,0
34300,1716.9,0,0,0,0
34310,1763.5,3.90771e-14,0,3.90771e-14,3.41016e-10
34320,1806.8,1.30257e-13,0,1.30257e-13,1.13672e-09
34330,1849.2,5.21028e-14,0,5.21028e-14,4.54688e-10
34340,1897.6,0,0,0,0
34350,1940.3,5.21028e-14,0,5.21028e-14,4.54688e-10
34360,1990,0,0,0,0
34370,2029.5,1.69334e-13,0,1.69334e-13,1.47774e-09
34380,2088.6,1.69334e-13,0,1.69334e-13,1.47774e-09
34390,2144.3,0,0,0,0
34400,2182.1,1.43283e-13,0,1.43283e-13,1.25039e-09
34410,2233.4,0,0,0,0
34420,2283.2,1.69334e-13,0,1.69334e-13,1.47774e-09
34430,2336.7,0,0,0,0
34440,2390.4,0,0,0,0
34450,2434.6,1.04206e-13,0,1.04206e-13,9.09376e-10
34460,2479.9,0,0,0,0
34470,2517.1,3.90771e-14,0,3.90771e-14,3.41016e-10
34480,2551.8,0,0,0,0
34490,2568.1,0,0,0,0
34500,2597.3,1.43283e-13,0,1.43283e-13,1.25039e-09
34510,2635.5,6.51285e-14,0,6.51285e-14,5.6836e-10
34520,2680.3,0,0,0,0
34530,2725.7,0,0,0,0
34540,2762.9,5.21028e-14,0,5.21028e-14,4.54688e-10
34550,2801.4,0,0,0,0
34560,2837.1,1.30257e-13,0,1.30257e-13,1.13672e-09
34570,2873.9,0,0,0,0
34580,2911.2,0,0,0,0
34590,2951.1,6.51285e-14,0,6.51285e-14,5.6836e-10
34600,2982.5,1.30257e-13,0,1.30257e-13,1.13672e-09
34610,3020.1,1.56308e-13,0,1.56308e-13,1.36406e-09
34620,3062.5,1.04206e-13,0,1.04206e-13,9.09376e-10
34630,3095.4,0,0,0,0
34640,3127.7,6.51285e-14,0,6.51285e-14,5.6836e-10
34650,3162.9,0,0,0,0
34660,3206,5.21028e-14,0,5.21028e-14,4.54688e-10
34670,3256.3,6.51285e-14,0,6.51285e-14,5.6836e-10
34680,3297.4,5.21028e-14,0,5.21028e-14,4.54688e-10
34690,3335,1.04206e-13,0,1.04206e-13,9.09376e-10
