#t,h,En,Ep,Ea,H(10)
38910,1995.2,1.56308e-13,0,1.56308e-13,1.36406e-09
38920,2036.7,1.30257e-13,0,1.30257e-13,1.13672e-09
38930,2095.5,3.38668e-13,0,3.38668e-13,2.95547e-09
38940,2130.9,9.11799e-14,0,9.11799e-14,7.95704e-10
38950,2175.9,1.56308e-13,0,1.56308e-13,1.36406e-09
38960,2219.1,0,0,0,0
38980,2261.4,2.34463e-13,0,2.34463e-13,2.0461e-09
38990,2276.1,2.60514e-13,0,2.60514e-13,2.27344e-09
39000,2300,9.11799e-14,0,9.11799e-14,7.95704e-10
39010,2319.1,2.47488e-13,0,2.47488e-13,2.15977e-09
39030,2324.9,3.90771e-14,0,3.90771e-14,3.41016e-10
39040,2333.7,1.43283e-13,0,1.43283e-13,1.25039e-09
39050,2341.1,4.03797e-13,0,4.03797e-13,3.52383e-09
39060,2347.4,1.8236e-13,0,1.8236e-13,1.59141e-09
39070,2350.1,6.51285e-14,0,6.51285e-14,5.6836e-10
39080,2348.6,1.56308e-13,0,1.56308e-13,1.36406e-09
39090,2342.1,0,0,0,0
39100,2330.3,1.43283e-13,0,1.43283e-13,1.25039e-09
39110,2315.4,3.90771e-14,0,3.90771e-14,3.41016e-10
39120,2309.1,2.60514e-13,0,2.60514e-13,2.27344e-09
39130,2316.3,4.03797e-13,0,4.03797e-13,3.52383e-09
39140,2337.6,1.17231e-13,0,1.17231e-13,1.02305e-09
39150,2368.3,2.08411e-13,0,2.08411e-13,1.81875e-09
39160,2405.2,3.90771e-13,0,3.90771e-13,3.41016e-09
39170,2444.1,6.51285e-14,0,6.51285e-14,5.6836e-10
39180,2486,3.64719e-13,0,3.64719e-13,3.18282e-09
39190,2523.5,0,0,0,0
39200,2557.2,1.8236e-13,0,1.8236e-13,1.59141e-09
39210,2595.8,5.21028e-14,0,5.21028e-14,4.54688e-10
39220,2640.8,1.04206e-13,0,1.04206e-13,9.09376e-10
39230,2695.4,0,0,0,0
39240,2744.9,5.21028e-14,0,5.21028e-14,4.54688e-10
39250,2785.6,6.51285e-14,0,6.51285e-14,5.6836e-10
39260,2836.5,7.81542e-14,0,7.81542e-14,6.82032e-10
39270,2894.4,1.56308e-13,0,1.56308e-13,1.36406e-09
39280,2948.7,1.30257e-13,0,1.30257e-13,1.13672e-09
39290,3004.6,6.51285e-14,0,6.51285e-14,5.6836e-10
39300,3053.8,1.8236e-13,0,1.8236e-13,1.59141e-09
39310,3092.8,2.60514e-13,0,2.60514e-13,2.27344e-09
39320,3142.7,1.69334e-13,0,1.69334e-13,1.47774e-09
39330,3186.4,5.21028e-14,0,5.21028e-14,4.54688e-10
39340,3229.5,5.21028e-14,0,5.21028e-14,4.54688e-10
39350,3276.6,0,0,0,0
39360,3316.5,1.43283e-13,0,1.43283e-13,1.25039e-09
39370,3353,1.8236e-13,0,1.8236e-13,1.59141e-09
39380,3391.7,1.04206e-13,0,1.04206e-13,9.09376e-10
39390,3433,0,0,0,0
39400,3474.2,6.6431e-13,0,6.6431e-13,5.79727e-09
39410,3514.9,1.43283e-13,0,1.43283e-13,1.25039e-09
39420,3553.9,2.47488e-13,0,2.47488e-13,2.15977e-09
39430,3594,4.29848e-13,0,4.29848e-13,3.75118e-09
39440,3629.9,1.8236e-13,0,1.8236e-13,1.59141e-09
39450,3658.8,5.21028e-14,0,5.21028e-14,4.54688e-10
39460,3693.4,7.81542e-14,0,7.81542e-14,6.82032e-10
39470,3721.5,0,0,0,0
39480,3756.3,2.86565e-13,0,2.86565e-13,2.50078e-09
39490,3795.2,1.95385e-13,0,1.95385e-13,1.70508e-09
39500,3830.2,1.04206e-13,0,1.04206e-13,9.09376e-10
39510,3863.3,1.56308e-13,0,1.56308e-13,1.36406e-09
39520,3897.7,9.11799e-14,0,9.11799e-14,7.95704e-10
39530,3928.8,3.77745e-13,0,3.77745e-13,3.29649e-09
39540,3960.5,5.21028e-14,0,5.21028e-14,4.54688e-10
39550,3994.1,2.60514e-13,0,2.60514e-13,2.27344e-09
39560,4025.5,9.11799e-14,0,9.11799e-14,7.95704e-10
39570,4054.1,1.43283e-13,0,1.43283e-13,1.25039e-09
39580,4087.5,2.47488e-13,0,2.47488e-13,2.15977e-09
39590,4122.3,1.04206e-13,0,1.04206e-13,9.09376e-10
39600,4150.2,3.90771e-14,0,3.90771e-14,3.41016e-10
39610,4180,1.17231e-13,0,1.17231e-13,1.02305e-09
39620,4211.5,1.04206e-13,0,1.04206e-13,9.09376e-10
39630,4244.8,9.11799e-14,0,9.11799e-14,7.95704e-10
39640,4274.2,1.43283e-13,0,1.43283e-13,1.25039e-09
39650,4306.2,6.51285e-14,0,6.51285e-14,5.6836e-10
39660,4347.9,1.43283e-13,0,1.43283e-13,1.25039e-09
39670,4390.7,3.90771e-14,0,3.90771e-14,3.41016e-10
39680,4425,2.60514e-13,0,2.60514e-13,2.27344e-09
39690,4422.6,1.69334e-13,0,1.69334e-13,1.47774e-09
39700,4451.5,2.08411e-13,0,2.08411e-13,1.81875e-09
39710,4485.4,1.56308e-13,0,1.56308e-13,1.36406e-09
39720,4507.6,1.69334e-13,0,1.69334e-13,1.47774e-09
39730,4520.1,7.81542e-14,0,7.81542e-14,6.82032e-10
39740,4529.9,2.7354e-13,0,2.7354e-13,2.38711e-09
39750,4546.2,2.08411e-13,0,2.08411e-13,1.81875e-09
39760,4566.3,1.56308e-13,0,1.56308e-13,1.36406e-09
39770,4591.6,1.04206e-13,0,1.04206e-13,9.09376e-10
39780,4618.5,0,0,0,0
39790,4648.1,1.43283e-13,0,1.43283e-13,1.25039e-09
39800,4669.8,2.7354e-13,0,2.7354e-13,2.38711e-09
39810,4681.8,0,0,0,0
39820,4685.7,3.64719e-13,0,3.64719e-13,3.18282e-09
